ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,LANES GROUP PLC,03-Dec-24,445.00 ,MAINTENANCE,V002328004
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,LANES GROUP PLC,03-Dec-24,635.00 ,MAINTENANCE,V002328006
ROCHDALE BOROUGH COUNCIL,03-Dec-24,EARLY HELP AND SCHOOLS,INTEGRATED PROVISION,03-Dec-24,"40,556.30 ",OTHER EST - SEN PROVISION,V002328008
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PROPERTY AND HIGHWAYS,INTERSAFETY LTD,03-Dec-24,38.54 ,"CLOTHES, UNIFORM AND LAUNDRY",V002328033
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PROPERTY AND HIGHWAYS,INTERSAFETY LTD,03-Dec-24,38.54 ,"CLOTHES, UNIFORM AND LAUNDRY",V002328033
ROCHDALE BOROUGH COUNCIL,03-Dec-24,EARLY HELP AND SCHOOLS,ROCHDALE TOWN TAXIS LTD,03-Dec-24,36.00 ,TAXI HIRE,V002328035
ROCHDALE BOROUGH COUNCIL,03-Dec-24,EARLY HELP AND SCHOOLS,ROCHDALE TOWN TAXIS LTD,03-Dec-24,36.00 ,TAXI HIRE,V002328035
ROCHDALE BOROUGH COUNCIL,03-Dec-24,EARLY HELP AND SCHOOLS,ROCHDALE TOWN TAXIS LTD,03-Dec-24,36.00 ,TAXI HIRE,V002328035
ROCHDALE BOROUGH COUNCIL,06-Dec-24,PUBLIC HEALTH,PHS GROUP PLC,06-Dec-24,14.25 ,HYGIENE EQUIPMENT,V002328036
ROCHDALE BOROUGH COUNCIL,06-Dec-24,PUBLIC HEALTH,PHS GROUP PLC,06-Dec-24,82.50 ,HYGIENE EQUIPMENT,V002328037
ROCHDALE BOROUGH COUNCIL,06-Dec-24,ECONOMY DIRECTORATE,MAVERICK LAB CIC,06-Dec-24,250.00 ,ACTIVITIES,V002328038
ROCHDALE BOROUGH COUNCIL,06-Dec-24,ECONOMY DIRECTORATE,MAVERICK LAB CIC,06-Dec-24,150.00 ,ACTIVITIES,V002328042
ROCHDALE BOROUGH COUNCIL,06-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ORCHARD RECYCLING SERVICE LTD,06-Dec-24,"2,498.00 ",EQUIPMENT - GENERAL,V002328043
ROCHDALE BOROUGH COUNCIL,05-Dec-24,PUBLIC HEALTH,WA PRODUCTS UK LTD,05-Dec-24,238.24 ,EQUIPMENT - GENERAL,V002328047
ROCHDALE BOROUGH COUNCIL,06-Dec-24,ADULT CARE LCO FUNCTIONS,ACCESS UK LTD,06-Dec-24,"1,119.90 ",IT EQUIPMENT,V002328048
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ECONOMY DIRECTORATE,ASHDOWN PHILLIPS AND PARTNERS,13-Dec-24,450.00 ,RENTS,V002328049
ROCHDALE BOROUGH COUNCIL,06-Dec-24,PUBLIC HEALTH,THE OYSTER PARTNERSHIP LTD,06-Dec-24,605.29 ,ACTIVITIES,V002328050
ROCHDALE BOROUGH COUNCIL,06-Dec-24,PUBLIC HEALTH,THE OYSTER PARTNERSHIP LTD,06-Dec-24,138.32 ,ACTIVITIES,V002328051
ROCHDALE BOROUGH COUNCIL,06-Dec-24,PUBLIC HEALTH,THE OYSTER PARTNERSHIP LTD,06-Dec-24,264.48 ,ACTIVITIES,V002328052
ROCHDALE BOROUGH COUNCIL,06-Dec-24,EARLY HELP AND SCHOOLS,EDFORALL LTD,06-Dec-24,"2,100.00 ",OTHER EST - SEN PROVISION,V002328053
ROCHDALE BOROUGH COUNCIL,03-Dec-24,EARLY HELP AND SCHOOLS,MIDDLETON CARS,03-Dec-24,300.00 ,TAXI HIRE,V002328054
ROCHDALE BOROUGH COUNCIL,06-Dec-24,ECONOMY DIRECTORATE,CONSTELLIA  PUBLIC LTD,06-Dec-24,"1,250.00 ",CONSULTANTS FEES,V002328056
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PROPERTY AND HIGHWAYS,DAWSONGROUP SWEEPERS LTD,03-Dec-24,"1,586.02 ",CONTRACT HIRE,V002328057
ROCHDALE BOROUGH COUNCIL,06-Dec-24,ECONOMY DIRECTORATE,ATKINSREALIS UK LTD,06-Dec-24,"18,829.85 ",CONSULTANTS FEES,V002328058
ROCHDALE BOROUGH COUNCIL,06-Dec-24,CONTROL ACCOUNT,WHISTL UK LTD,06-Dec-24,"1,807.39 ",TRANSACTIONS-EXPENDITURE,V002328063
ROCHDALE BOROUGH COUNCIL,06-Dec-24,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,06-Dec-24,"1,002.12 ",FOSTER PARENTS BASIC ALLOWANCE,V002328065
ROCHDALE BOROUGH COUNCIL,06-Dec-24,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,06-Dec-24,"1,205.95 ",FOSTER PARENTS BASIC ALLOWANCE,V002328066
ROCHDALE BOROUGH COUNCIL,06-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,BRITISH GAS TRADING LIMITED,06-Dec-24,241.81 ,STATUTORY UNDERTAKING-UTILITY COMPANIES,V002328067
ROCHDALE BOROUGH COUNCIL,06-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,247 HOTEL,06-Dec-24,"2,655.42 ",ACCOMMODATION,V002328069
ROCHDALE BOROUGH COUNCIL,02-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,E ON NEXT ENERGY LTD,02-Dec-24,39.86 ,GAS,V002328070
ROCHDALE BOROUGH COUNCIL,06-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,EDF ENERGY CUSTOMERS LTD,06-Dec-24,84.39 ,STATUTORY UNDERTAKING-UTILITY COMPANIES,V002328071
ROCHDALE BOROUGH COUNCIL,02-Dec-24,CHILDREN’S SOCIAL CARE,KEYS PCE LTD,02-Dec-24,"4,210.54 ",YOUNG PEOPLES RENTS,V002328092
ROCHDALE BOROUGH COUNCIL,03-Dec-24,ECONOMY DIRECTORATE,SEED ARCHITECTS LIMITED,03-Dec-24,"7,721.29 ",SITE INVESTIGATION,V002328097
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ASSOCIATED CLEANING CONTRACTORS,03-Dec-24,60.00 ,WINDOWS,V002328098
ROCHDALE BOROUGH COUNCIL,03-Dec-24,EARLY HELP AND SCHOOLS,NORMANS BURTON UPON TRENT LTD,03-Dec-24,114.75 ,EQUIPMENT - GENERAL,V002328099
ROCHDALE BOROUGH COUNCIL,03-Dec-24,EARLY HELP AND SCHOOLS,NORMANS BURTON UPON TRENT LTD,03-Dec-24,11.50 ,EQUIPMENT - GENERAL,V002328099
ROCHDALE BOROUGH COUNCIL,03-Dec-24,CHILDREN’S SOCIAL CARE,MONTROSE LIVING,03-Dec-24,925.00 ,YOUNG PEOPLES RENTS,V002328100
ROCHDALE BOROUGH COUNCIL,03-Dec-24,CHILDREN’S SOCIAL CARE,NEW START CHILDCARE,03-Dec-24,"23,784.75 ",EBD (EMOT & BEHAV DIFF) PLACEMENTS,V002328103
ROCHDALE BOROUGH COUNCIL,03-Dec-24,RESOURCES,ACS BUSINESS SUPPLIES,03-Dec-24,138.19 ,IT EQUIPMENT,V002328104
ROCHDALE BOROUGH COUNCIL,03-Dec-24,CHILDREN’S SOCIAL CARE,CHEERY BLOSSOM SUPPORTED LIVING LTD,03-Dec-24,317.44 ,YOUNGE PERSONS ALLOWANCE,V002328106
ROCHDALE BOROUGH COUNCIL,03-Dec-24,ECONOMY DIRECTORATE,CONSTELLIA  PUBLIC LTD,03-Dec-24,"6,000.00 ",CONSULTANTS FEES,V002328107
ROCHDALE BOROUGH COUNCIL,03-Dec-24,CHILDREN’S SOCIAL CARE,LORIMER FOSTER SERVICES,03-Dec-24,"3,187.64 ",FOSTER PARENTS BASIC ALLOWANCE,V002328108
ROCHDALE BOROUGH COUNCIL,03-Dec-24,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,03-Dec-24,"5,131.68 ",FOSTER PARENTS BASIC ALLOWANCE,V002328109
ROCHDALE BOROUGH COUNCIL,03-Dec-24,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,03-Dec-24,"4,847.90 ",FOSTER PARENTS BASIC ALLOWANCE,V002328110
ROCHDALE BOROUGH COUNCIL,03-Dec-24,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,03-Dec-24,"4,894.22 ",FOSTER PARENTS BASIC ALLOWANCE,V002328111
ROCHDALE BOROUGH COUNCIL,03-Dec-24,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,03-Dec-24,"5,249.53 ",FOSTER PARENTS BASIC ALLOWANCE,V002328112
ROCHDALE BOROUGH COUNCIL,03-Dec-24,RESOURCES,BANNER GROUP LIMITED,03-Dec-24,11.78 ,PRINTING & STATIONERY,V002328115
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,03-Dec-24,56.67 ,CONSUMABLES,V002328120
ROCHDALE BOROUGH COUNCIL,03-Dec-24,RESOURCES,LOCALGOV IMPROVE LTD,03-Dec-24,"3,487.50 ",ACTIVITIES,V002328123
ROCHDALE BOROUGH COUNCIL,03-Dec-24,CHILDREN’S SOCIAL CARE,CHOICES HOME FOR CHILDREN,03-Dec-24,"16,607.14 ",EBD (EMOT & BEHAV DIFF) PLACEMENTS,V002328124
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,03-Dec-24,13.50 ,CLEANING MATERIALS,V002328125
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,03-Dec-24,7.92 ,CLEANING MATERIALS,V002328125
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,03-Dec-24,13.00 ,CLEANING EQUIPMENT,V002328125
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,03-Dec-24,11.30 ,CONSUMABLES,V002328125
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,03-Dec-24,11.95 ,CLEANING EQUIPMENT,V002328125
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,03-Dec-24,34.00 ,CLEANING EQUIPMENT,V002328125
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,03-Dec-24,99.00 ,CLEANING EQUIPMENT,V002328125
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,03-Dec-24,21.50 ,CONSUMABLES,V002328125
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,03-Dec-24,71.85 ,CONSUMABLES,V002328125
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,03-Dec-24,11.00 ,CLEANING EQUIPMENT,V002328125
ROCHDALE BOROUGH COUNCIL,03-Dec-24,CHILDREN’S SOCIAL CARE,THE FOSTERING TEAM,03-Dec-24,"3,562.43 ",FOSTER PARENTS BASIC ALLOWANCE,V002328127
ROCHDALE BOROUGH COUNCIL,03-Dec-24,CHILDREN’S SOCIAL CARE,THE FOSTERING TEAM,03-Dec-24,"3,485.20 ",FOSTER PARENTS BASIC ALLOWANCE,V002328128
ROCHDALE BOROUGH COUNCIL,03-Dec-24,CHILDREN’S SOCIAL CARE,THE FOSTERING TEAM,03-Dec-24,"3,367.62 ",FOSTER PARENTS BASIC ALLOWANCE,V002328129
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,03-Dec-24,34.00 ,CLEANING EQUIPMENT,V002328130
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PUBLIC HEALTH,STM AGENCY LTD,03-Dec-24,260.00 ,ACTIVITIES,V002328132
ROCHDALE BOROUGH COUNCIL,02-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,FS MOULT AND SON LTD,02-Dec-24,"1,600.00 ",ELECTRICAL,V002328133
ROCHDALE BOROUGH COUNCIL,02-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,FS MOULT AND SON LTD,02-Dec-24,"6,348.00 ",ELECTRICAL,V002328133
ROCHDALE BOROUGH COUNCIL,03-Dec-24,CHILDREN’S SOCIAL CARE,CRYSTAL CARE SOLUTIONS LTD,03-Dec-24,"21,278.40 ",EBD (EMOT & BEHAV DIFF) PLACEMENTS,V002328138
ROCHDALE BOROUGH COUNCIL,03-Dec-24,CHILDREN’S SOCIAL CARE,RESIDENTIAL CHILD CARE COMMUNITY LTD,03-Dec-24,"34,100.00 ",EBD (EMOT & BEHAV DIFF) PLACEMENTS,V002328140
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PROPERTY AND HIGHWAYS,FRANK KEY TOOL HIRE LTD,03-Dec-24,15.00 ,HIRE OF EQUIPMENT,V002328142
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PROPERTY AND HIGHWAYS,BANNER GROUP LIMITED,03-Dec-24,9.90 ,STATIONERY,V002328143
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PROPERTY AND HIGHWAYS,BANNER GROUP LIMITED,03-Dec-24,86.60 ,STATIONERY,V002328143
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PROPERTY AND HIGHWAYS,BANNER GROUP LIMITED,03-Dec-24,1.00 ,STATIONERY,V002328143
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PROPERTY AND HIGHWAYS,BANNER GROUP LIMITED,03-Dec-24,8.43 ,STATIONERY,V002328143
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PROPERTY AND HIGHWAYS,BANNER GROUP LIMITED,03-Dec-24,2.74 ,STATIONERY,V002328143
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PROPERTY AND HIGHWAYS,BANNER GROUP LIMITED,03-Dec-24,2.38 ,STATIONERY,V002328143
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,BANNER GROUP LIMITED,03-Dec-24,51.96 ,PRINTING & STATIONERY,V002328144
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,BANNER GROUP LIMITED,03-Dec-24,6.34 ,PRINTING & STATIONERY,V002328144
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,BANNER GROUP LIMITED,03-Dec-24,12.68 ,PRINTING & STATIONERY,V002328144
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,BANNER GROUP LIMITED,03-Dec-24,6.65 ,PRINTING & STATIONERY,V002328144
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,BANNER GROUP LIMITED,03-Dec-24,5.17 ,PRINTING & STATIONERY,V002328144
ROCHDALE BOROUGH COUNCIL,03-Dec-24,CHILDREN’S SOCIAL CARE,PROACTIVE CARE LTD,03-Dec-24,"21,638.00 ",EBD (EMOT & BEHAV DIFF) PLACEMENTS,V002328145
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PROPERTY AND HIGHWAYS,BUCHANAN COMPUTING LTD,03-Dec-24,"17,988.00 ",SOFTWARE,V002328146
ROCHDALE BOROUGH COUNCIL,04-Dec-24,EARLY HELP AND SCHOOLS,ROBERT WHETHAM ASSOCIATES LTD,04-Dec-24,211.50 ,CONSULTANTS FEES,V002328148
ROCHDALE BOROUGH COUNCIL,04-Dec-24,CHILDREN’S SOCIAL CARE,COASTAL KEY HOUSING LTD,04-Dec-24,"3,428.60 ",YOUNG PEOPLES RENTS,V002328149
ROCHDALE BOROUGH COUNCIL,04-Dec-24,EARLY HELP AND SCHOOLS,SUEZ RECYCLING AND RECOVERY UK LTD,04-Dec-24,117.06 ,REFUSE DISPOSAL,V002328150
ROCHDALE BOROUGH COUNCIL,04-Dec-24,EARLY HELP AND SCHOOLS,SUEZ RECYCLING AND RECOVERY UK LTD,04-Dec-24,13.80 ,REFUSE DISPOSAL,V002328150
ROCHDALE BOROUGH COUNCIL,04-Dec-24,EARLY HELP AND SCHOOLS,SUEZ RECYCLING AND RECOVERY UK LTD,04-Dec-24,13.01 ,REFUSE DISPOSAL,V002328150
ROCHDALE BOROUGH COUNCIL,04-Dec-24,EARLY HELP AND SCHOOLS,SUEZ RECYCLING AND RECOVERY UK LTD,04-Dec-24,5.28 ,REFUSE DISPOSAL,V002328150
ROCHDALE BOROUGH COUNCIL,04-Dec-24,PROPERTY AND HIGHWAYS,OVE ARUP AND PARTNERS LIMITED,04-Dec-24,"3,327.00 ",ENGINEERS FEES,V002328151
ROCHDALE BOROUGH COUNCIL,04-Dec-24,CHILDREN’S SOCIAL CARE,FOSTERING SOLUTIONS LTD,04-Dec-24,"7,093.73 ",FOSTER PARENTS BASIC ALLOWANCE,V002328152
ROCHDALE BOROUGH COUNCIL,04-Dec-24,PUBLIC HEALTH,COMPUTACENTER UK LIMITED,04-Dec-24,11.11 ,EQUIPMENT - GENERAL,V002328153
ROCHDALE BOROUGH COUNCIL,04-Dec-24,PUBLIC HEALTH,COMPUTACENTER UK LIMITED,04-Dec-24,11.11 ,EQUIPMENT - GENERAL,V002328153
ROCHDALE BOROUGH COUNCIL,04-Dec-24,CHILDREN’S SOCIAL CARE,THE NATIONAL FOSTERING AGENCY LIMITED,04-Dec-24,"5,456.68 ",FOSTER PARENTS BASIC ALLOWANCE,V002328154
ROCHDALE BOROUGH COUNCIL,04-Dec-24,CHILDREN’S SOCIAL CARE,THE NATIONAL FOSTERING AGENCY LIMITED,04-Dec-24,"4,033.47 ",FOSTER PARENTS BASIC ALLOWANCE,V002328155
ROCHDALE BOROUGH COUNCIL,06-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,PEOPLE SUPPORT CO OPERATIVE LTD,06-Dec-24,600.00 ,TRAINING,V002328165
ROCHDALE BOROUGH COUNCIL,04-Dec-24,RESOURCES,BANNER GROUP LIMITED,04-Dec-24,35.27 ,PRINTING & STATIONERY,V002328173
ROCHDALE BOROUGH COUNCIL,04-Dec-24,RESOURCES,BANNER GROUP LIMITED,04-Dec-24,7.65 ,PRINTING & STATIONERY,V002328173
ROCHDALE BOROUGH COUNCIL,04-Dec-24,RESOURCES,BANNER GROUP LIMITED,04-Dec-24,14.85 ,PRINTING & STATIONERY,V002328173
ROCHDALE BOROUGH COUNCIL,04-Dec-24,RESOURCES,BANNER GROUP LIMITED,04-Dec-24,138.56 ,PRINTING & STATIONERY,V002328173
ROCHDALE BOROUGH COUNCIL,04-Dec-24,RESOURCES,BANNER GROUP LIMITED,04-Dec-24,9.46 ,PRINTING & STATIONERY,V002328173
ROCHDALE BOROUGH COUNCIL,04-Dec-24,RESOURCES,BANNER GROUP LIMITED,04-Dec-24,0.44 ,PRINTING & STATIONERY,V002328173
ROCHDALE BOROUGH COUNCIL,04-Dec-24,RESOURCES,BANNER GROUP LIMITED,04-Dec-24,12.28 ,PRINTING & STATIONERY,V002328173
ROCHDALE BOROUGH COUNCIL,04-Dec-24,RESOURCES,BANNER GROUP LIMITED,04-Dec-24,9.57 ,PRINTING & STATIONERY,V002328173
ROCHDALE BOROUGH COUNCIL,09-Dec-24,ADULT CARE LCO FUNCTIONS,FUTURE DIRECTIONS CIC,09-Dec-24,"3,150.38 ",SOCIAL SERVICES OTHER,V002328179
ROCHDALE BOROUGH COUNCIL,09-Dec-24,ECONOMY DIRECTORATE,ACORN ANALYTICAL SERVICES LTD,09-Dec-24,"2,400.00 ",MINOR BUILDING WORKS,V002328182
ROCHDALE BOROUGH COUNCIL,09-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,EXCLUSEC,09-Dec-24,"9,221.26 ",SECURITY,V002328183
ROCHDALE BOROUGH COUNCIL,09-Dec-24,EARLY HELP AND SCHOOLS,ALCEDO ORANGE LTD,09-Dec-24,"2,688.00 ",HOME CARE - CHILDRENS SERVICES,V002328187
ROCHDALE BOROUGH COUNCIL,03-Dec-24,ADULT CARE LCO FUNCTIONS,STANNAH LIFT SERVICES LTD,03-Dec-24,63.00 ,REMOVAL EXPENDITURE,V002328190
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,RICHARD WELLOCK AND SONS LTD,03-Dec-24,78.35 ,PROVISIONS,V002328363
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PROPERTY AND HIGHWAYS,FAST HIRE AND SALES LTD,03-Dec-24,61.57 ,MAINTENANCE,V002328366
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PROPERTY AND HIGHWAYS,FAST HIRE AND SALES LTD,03-Dec-24,58.03 ,HIRE OF EQUIPMENT,V002328366
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PUBLIC HEALTH,TREATMENT DIRECT LTD,03-Dec-24,"9,900.00 ",CONTRACTED SERVICES,V002328367
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PROPERTY AND HIGHWAYS,FAST HIRE AND SALES LTD,03-Dec-24,188.60 ,HIRE OF EQUIPMENT,V002328368
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PROPERTY AND HIGHWAYS,FAST HIRE AND SALES LTD,03-Dec-24,82.80 ,HIRE OF EQUIPMENT,V002328369
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ZONAL RETAIL DATA SYSTEMS LTD,03-Dec-24,175.00 ,EQUIPMENT - GENERAL,V002328370
ROCHDALE BOROUGH COUNCIL,11-Dec-24,EARLY HELP AND SCHOOLS,PRESTIGE NURSING AND CARE,11-Dec-24,706.75 ,HOME CARE - CHILDRENS SERVICES,V002328376
ROCHDALE BOROUGH COUNCIL,11-Dec-24,EARLY HELP AND SCHOOLS,PRESTIGE NURSING AND CARE,11-Dec-24,597.54 ,HOME CARE - CHILDRENS SERVICES,V002328379
ROCHDALE BOROUGH COUNCIL,02-Dec-24,ADULT CARE LCO FUNCTIONS,NONSTOP CONSULTING LTD,02-Dec-24,"1,526.25 ",AGENCY STAFF,V002328380
ROCHDALE BOROUGH COUNCIL,11-Dec-24,EARLY HELP AND SCHOOLS,PRESTIGE NURSING AND CARE,11-Dec-24,719.60 ,HOME CARE - CHILDRENS SERVICES,V002328381
ROCHDALE BOROUGH COUNCIL,11-Dec-24,EARLY HELP AND SCHOOLS,PRESTIGE NURSING AND CARE,11-Dec-24,719.60 ,HOME CARE - CHILDRENS SERVICES,V002328382
ROCHDALE BOROUGH COUNCIL,03-Dec-24,ECONOMY DIRECTORATE,NB WORX LTD,03-Dec-24,480.00 ,REPAIRS & ALTS OF BUILDINGS,V002328385
ROCHDALE BOROUGH COUNCIL,03-Dec-24,ECONOMY DIRECTORATE,NB WORX LTD,03-Dec-24,385.00 ,REPAIRS & ALTS OF BUILDINGS,V002328385
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PROPERTY AND HIGHWAYS,WILDE CONSULTING ENGINEERS,03-Dec-24,"6,856.21 ",REPAIRS & ALTS OF BUILDINGS,V002328388
ROCHDALE BOROUGH COUNCIL,09-Dec-24,ADULT CARE LCO FUNCTIONS,INCLUSIVE TECHNOLOGY LTD,09-Dec-24,132.02 ,PURCHASE OF FURNITURE AND EQUIPMENT,V002328393
ROCHDALE BOROUGH COUNCIL,09-Dec-24,EARLY HELP AND SCHOOLS,FAMILY ACTION,09-Dec-24,32.00 ,PROVISIONS,V002328394
ROCHDALE BOROUGH COUNCIL,09-Dec-24,EARLY HELP AND SCHOOLS,FAMILY ACTION,09-Dec-24,1.00 ,PROVISIONS,V002328394
ROCHDALE BOROUGH COUNCIL,09-Dec-24,ECONOMY DIRECTORATE,LAYER LANDSCAPE ARCHITECTTURE LTD,09-Dec-24,"3,536.00 ",CONSULTANTS FEES,V002328395
ROCHDALE BOROUGH COUNCIL,09-Dec-24,CHILDREN’S SOCIAL CARE,ALCEDO ORANGE LTD,09-Dec-24,448.00 ,HOME CARE - CHILDRENS SERVICES,V002328396
ROCHDALE BOROUGH COUNCIL,09-Dec-24,RESOURCES,MICROFORM IMAGING LIMITED,09-Dec-24,500.00 ,REPROGRAPHIC EXPENSES,V002328397
ROCHDALE BOROUGH COUNCIL,09-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ALPINE RESCUE AND RECOVERY SERVICES LTD,09-Dec-24,800.00 ,PURCHASE OF VEHICLES,V002328398
ROCHDALE BOROUGH COUNCIL,09-Dec-24,RESOURCES,SIGNS4LIFE,09-Dec-24,"2,430.00 ",TRAINING-NON QUALIFICATION,V002328399
ROCHDALE BOROUGH COUNCIL,04-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,PARR ROCHDALE LIMITED,04-Dec-24,11.34 ,BUILDING MATERIALS,V002328403
ROCHDALE BOROUGH COUNCIL,09-Dec-24,ECONOMY DIRECTORATE,ARCO GROUP LIMITED,09-Dec-24,508.97 ,EQUIPMENT - GENERAL,V002328404
ROCHDALE BOROUGH COUNCIL,12-Dec-24,EARLY HELP AND SCHOOLS,FINDEL EDUCATION LIMITED,12-Dec-24,13.78 ,ARTS & CRAFTS,V002328405
ROCHDALE BOROUGH COUNCIL,12-Dec-24,EARLY HELP AND SCHOOLS,FINDEL EDUCATION LIMITED,12-Dec-24,18.98 ,ARTS & CRAFTS,V002328405
ROCHDALE BOROUGH COUNCIL,12-Dec-24,EARLY HELP AND SCHOOLS,FINDEL EDUCATION LIMITED,12-Dec-24,14.18 ,ARTS & CRAFTS,V002328405
ROCHDALE BOROUGH COUNCIL,12-Dec-24,EARLY HELP AND SCHOOLS,FINDEL EDUCATION LIMITED,12-Dec-24,7.69 ,ARTS & CRAFTS,V002328405
ROCHDALE BOROUGH COUNCIL,12-Dec-24,EARLY HELP AND SCHOOLS,FINDEL EDUCATION LIMITED,12-Dec-24,3.19 ,ARTS & CRAFTS,V002328405
ROCHDALE BOROUGH COUNCIL,12-Dec-24,EARLY HELP AND SCHOOLS,FINDEL EDUCATION LIMITED,12-Dec-24,11.59 ,ARTS & CRAFTS,V002328405
ROCHDALE BOROUGH COUNCIL,12-Dec-24,EARLY HELP AND SCHOOLS,FINDEL EDUCATION LIMITED,12-Dec-24,16.59 ,ARTS & CRAFTS,V002328405
ROCHDALE BOROUGH COUNCIL,12-Dec-24,EARLY HELP AND SCHOOLS,FINDEL EDUCATION LIMITED,12-Dec-24,19.18 ,ARTS & CRAFTS,V002328405
ROCHDALE BOROUGH COUNCIL,12-Dec-24,EARLY HELP AND SCHOOLS,FINDEL EDUCATION LIMITED,12-Dec-24,20.97 ,ARTS & CRAFTS,V002328405
